INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C4_R2-C5_R3-C7.txt

Stacking Case (types read from header)
-------------------------------------
R1: C4 — m even > 2, n = 3
R2: C5 — m even > 2, n odd > 3
R3: C7 — m odd > 3, n = 2

Example 1
  R1: m=8, n=3
  R2: m=6, n=5
  R3: m=5, n=2
  #Solutions: 94
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->1], R1[1->0]
      2. R3[0->0], R2[0->1], R1[1->2]
      3. R3[0->0], R2[0->3], R1[3->0]
      4. R3[0->0], R2[0->3], R1[3->2]
      5. R3[0->0], R2[0->3], R1[3->4]
      6. R3[0->0], R2[0->5], R1[5->0]
      7. R3[0->0], R2[0->5], R1[5->2]
      8. R3[0->0], R2[0->5], R1[5->4]
      9. R3[0->0], R2[0->5], R1[5->6]
     10. R3[0->2], R2[2->1], R1[1->0]
     11. R3[0->2], R2[2->1], R1[1->2]
     12. R3[0->2], R2[2->3], R1[3->0]
     13. R3[0->2], R2[2->3], R1[3->2]
     14. R3[0->2], R2[2->3], R1[3->4]
     15. R3[0->2], R2[2->5], R1[5->0]
     16. R3[0->2], R2[2->5], R1[5->2]
     17. R3[0->2], R2[2->5], R1[5->4]
     18. R3[0->2], R2[2->5], R1[5->6]
     19. R3[0->4], R2[4->1], R1[1->0]
     20. R3[0->4], R2[4->1], R1[1->2]
     21. R3[0->4], R2[4->3], R1[3->0]
     22. R3[0->4], R2[4->3], R1[3->2]
     23. R3[0->4], R2[4->3], R1[3->4]
     24. R3[0->4], R2[4->5], R1[5->0]
     25. R3[0->4], R2[4->5], R1[5->2]
     26. R3[0->4], R2[4->5], R1[5->4]
     27. R3[0->4], R2[4->5], R1[5->6]
     28. R3[1->3], R2[3->0], R1[0->1]
     29. R3[1->3], R2[3->0], R1[0->3]
     30. R3[1->3], R2[3->0], R1[0->5]
     31. R3[1->3], R2[3->0], R1[0->7]
     32. R3[1->3], R2[3->2], R1[2->1]
     33. R3[1->3], R2[3->2], R1[2->3]
     34. R3[1->3], R2[3->2], R1[2->5]
     35. R3[1->3], R2[3->2], R1[2->7]
     36. R3[1->3], R2[3->4], R1[4->3]
     37. R3[1->3], R2[3->4], R1[4->5]
     38. R3[1->3], R2[3->4], R1[4->7]
     39. R3[2->0], R2[0->1], R1[1->0]
     40. R3[2->0], R2[0->1], R1[1->2]
     41. R3[2->0], R2[0->3], R1[3->0]
     42. R3[2->0], R2[0->3], R1[3->2]
     43. R3[2->0], R2[0->3], R1[3->4]
     44. R3[2->0], R2[0->5], R1[5->0]
     45. R3[2->0], R2[0->5], R1[5->2]
     46. R3[2->0], R2[0->5], R1[5->4]
     47. R3[2->0], R2[0->5], R1[5->6]
     48. R3[2->4], R2[4->1], R1[1->0]
     49. R3[2->4], R2[4->1], R1[1->2]
     50. R3[2->4], R2[4->3], R1[3->0]
     51. R3[2->4], R2[4->3], R1[3->2]
     52. R3[2->4], R2[4->3], R1[3->4]
     53. R3[2->4], R2[4->5], R1[5->0]
     54. R3[2->4], R2[4->5], R1[5->2]
     55. R3[2->4], R2[4->5], R1[5->4]
     56. R3[2->4], R2[4->5], R1[5->6]
     57. R3[3->1], R2[1->0], R1[0->1]
