INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_2/R1-C4_R2-C5.txt

Stacking Case (types read from header)
-------------------------------------
R1: C4 — m even > 2, n = 3
R2: C5 — m even > 2, n odd > 3
R3: (missing type header)

  #Solutions: 22
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R2[0->1] R1[1->0] 
      2. R2[0->1] R1[1->2] 
      3. R2[0->3] R1[3->0] 
      4. R2[0->3] R1[3->2] 
      5. R2[0->3] R1[3->4] 
      6. R2[1->0] R1[0->1] 
      7. R2[1->0] R1[0->3] 
      8. R2[1->0] R1[0->5] 
      9. R2[1->2] R1[2->1] 
     10. R2[1->2] R1[2->3] 
     11. R2[1->2] R1[2->5] 
     12. R2[2->1] R1[1->0] 
     13. R2[2->1] R1[1->2] 
     14. R2[2->3] R1[3->0] 
     15. R2[2->3] R1[3->2] 
     16. R2[2->3] R1[3->4] 
     17. R2[3->0] R1[0->1] 
     18. R2[3->0] R1[0->3] 
     19. R2[3->0] R1[0->5] 
     20. R2[3->2] R1[2->1] 
     21. R2[3->2] R1[2->3] 
     22. R2[3->2] R1[2->5] 
      1. R2[0->1] R1[1->0] 
      2. R2[0->1] R1[1->2] 
      3. R2[0->3] R1[3->0] 
      4. R2[0->3] R1[3->2] 
      5. R2[0->3] R1[3->4] 
      6. R2[1->0] R1[0->1] 
      7. R2[1->0] R1[0->3] 
      8. R2[1->0] R1[0->5] 
      9. R2[1->2] R1[2->1] 
     10. R2[1->2] R1[2->3] 
     11. R2[1->2] R1[2->5] 
     12. R2[2->1] R1[1->0] 
     13. R2[2->1] R1[1->2] 
     14. R2[2->3] R1[3->0] 
     15. R2[2->3] R1[3->2] 
     16. R2[2->3] R1[3->4] 
     17. R2[3->0] R1[0->1] 
     18. R2[3->0] R1[0->3] 
     19. R2[3->0] R1[0->5] 
     20. R2[3->2] R1[2->1] 
     21. R2[3->2] R1[2->3] 
     22. R2[3->2] R1[2->5] 
      1. R2[0->1] R1[1->0] 
      2. R2[0->1] R1[1->2] 
      3. R2[0->3] R1[3->0] 
      4. R2[0->3] R1[3->2] 
      5. R2[0->3] R1[3->4] 
      6. R2[1->0] R1[0->1] 
      7. R2[1->0] R1[0->3] 
      8. R2[1->0] R1[0->5] 
      9. R2[1->2] R1[2->1] 
     10. R2[1->2] R1[2->3] 
     11. R2[1->2] R1[2->5] 
     12. R2[2->1] R1[1->0] 
     13. R2[2->1] R1[1->2] 
     14. R2[2->3] R1[3->0] 
     15. R2[2->3] R1[3->2] 
     16. R2[2->3] R1[3->4] 
     17. R2[3->0] R1[0->1] 
     18. R2[3->0] R1[0->3] 
     19. R2[3->0] R1[0->5] 
     20. R2[3->2] R1[2->1] 
     21. R2[3->2] R1[2->3] 
     22. R2[3->2] R1[2->5] 
      1. R2[0->1] R1[1->0] 
      2. R2[0->1] R1[1->2] 
      3. R2[0->3] R1[3->0] 
      4. R2[0->3] R1[3->2] 
      5. R2[0->3] R1[3->4] 
      6. R2[1->0] R1[0->1] 
      7. R2[1->0] R1[0->3] 
      8. R2[1->0] R1[0->5] 
      9. R2[1->2] R1[2->1] 
     10. R2[1->2] R1[2->3] 
     11. R2[1->2] R1[2->5] 
     12. R2[2->1] R1[1->0] 
     13. R2[2->1] R1[1->2] 
     14. R2[2->3] R1[3->0] 
     15. R2[2->3] R1[3->2] 
